R	G	B
0.9686274509803922	0.9882352941176471	0.9921568627450981
0.9664129181084199	0.9873740868896579	0.9916647443291042
0.9641983852364475	0.9865128796616687	0.9911726259131104
0.9619838523644753	0.9856516724336793	0.9906805074971166
0.9597693194925029	0.9847904652056901	0.9901883890811227
0.9575547866205306	0.9839292579777009	0.9896962706651288
0.9553402537485582	0.9830680507497117	0.9892041522491349
0.953125720876586	0.9822068435217225	0.9887120338331411
0.9509111880046136	0.9813456362937332	0.9882199154171473
0.9486966551326413	0.980484429065744	0.9877277970011534
0.946482122260669	0.9796232218377547	0.9872356785851596
0.9442675893886967	0.9787620146097655	0.9867435601691658
0.9420530565167243	0.9779008073817763	0.9862514417531718
0.9398385236447521	0.977039600153787	0.985759323337178
0.9376239907727797	0.9761783929257978	0.9852672049211841
0.9354094579008074	0.9753171856978086	0.9847750865051903
0.933194925028835	0.9744559784698194	0.9842829680891965
0.9309803921568628	0.9735947712418301	0.9837908496732026
0.9287658592848904	0.9727335640138408	0.9832987312572088
0.9265513264129182	0.9718723567858516	0.982806612841215
0.9243367935409458	0.9710111495578624	0.982314494425221
0.9221222606689735	0.9701499423298732	0.9818223760092272
0.9199077277970011	0.969288735101884	0.9813302575932333
0.9176931949250289	0.9684275278738947	0.9808381391772395
0.9154786620530565	0.9675663206459054	0.9803460207612457
0.9132641291810842	0.9667051134179162	0.9798539023452518
0.9110495963091119	0.965843906189927	0.979361783929258
0.9088350634371396	0.9649826989619378	0.9788696655132642
0.9066205305651672	0.9641214917339485	0.9783775470972702
0.904405997693195	0.9632602845059592	0.9778854286812764
0.9021914648212226	0.96239907727797	0.9773933102652825
0.8999769319492503	0.9615378700499808	0.9769011918492887
0.8976547481737793	0.9606459054209919	0.9761783929257978
0.8945790080738178	0.9595386389850058	0.9738408304498269
0.8915032679738563	0.9584313725490197	0.9715032679738562
0.8884275278738947	0.9573241061130334	0.9691657054978854
0.8853517877739331	0.9562168396770473	0.9668281430219147
0.8822760476739716	0.9551095732410612	0.9644905805459438
0.87920030757401	0.954002306805075	0.9621530180699731
0.8761245674740484	0.9528950403690889	0.9598154555940023
0.873048827374087	0.9517877739331027	0.9574778931180316
0.8699730872741254	0.9506805074971165	0.9551403306420607
0.8668973471741638	0.9495732410611304	0.95280276816609
0.8638216070742023	0.9484659746251443	0.9504652056901192
0.8607458669742407	0.947358708189158	0.9481276432141484
0.8576701268742792	0.9462514417531719	0.9457900807381776
0.8545943867743176	0.9451441753171858	0.9434525182622069
0.8515186466743561	0.9440369088811996	0.941114955786236
0.8484429065743945	0.9429296424452134	0.9387773933102653
0.845367166474433	0.9418223760092272	0.9364398308342945
0.8422914263744714	0.9407151095732411	0.9341022683583238
0.8392156862745098	0.939607843137255	0.9317647058823529
0.8361399461745483	0.9385005767012687	0.9294271434063821
0.8330642060745868	0.9373933102652826	0.9270895809304114
0.8299884659746252	0.9362860438292965	0.9247520184544407
0.8269127258746636	0.9351787773933103	0.9224144559784698
0.8238369857747021	0.9340715109573241	0.920076893502499
0.8207612456747405	0.932964244521338	0.9177393310265283
0.8176855055747789	0.9318569780853518	0.9154017685505574
0.8146097654748174	0.9307497116493657	0.9130642060745867
0.8115340253748559	0.9296424452133795	0.9107266435986159
0.8084582852748944	0.9285351787773933	0.9083890811226452
0.8053825451749328	0.9274279123414072	0.9060515186466743
0.8023068050749712	0.9263206459054211	0.9037139561707036
0.7984313725490196	0.9248750480584391	0.9010688196847366
0.7921568627450981	0.9224144559784698	0.8975009611687812
0.7858823529411766	0.9199538638985006	0.8939331026528259
0.779607843137255	0.9174932718185314	0.8903652441368705
0.7733333333333333	0.9150326797385622	0.886797385620915
0.7670588235294118	0.9125720876585929	0.8832295271049596
0.7607843137254903	0.9101114955786236	0.8796616685890042
0.7545098039215686	0.9076509034986544	0.8760938100730489
0.7482352941176471	0.9051903114186851	0.8725259515570934
0.7419607843137255	0.9027297193387159	0.868958093041138
0.7356862745098041	0.9002691272587466	0.8653902345251827
0.7294117647058824	0.8978085351787775	0.8618223760092272
0.7231372549019608	0.8953479430988082	0.8582545174932719
0.7168627450980393	0.8928873510188389	0.8546866589773164
0.7105882352941176	0.8904267589388697	0.851118800461361
0.7043137254901961	0.8879661668589004	0.8475509419454056
0.6980392156862745	0.8855055747789312	0.8439830834294502
0.691764705882353	0.8830449826989619	0.8404152249134949
0.6854901960784314	0.8805843906189927	0.8368473663975394
0.6792156862745098	0.8781237985390234	0.833279507881584
0.6729411764705883	0.8756632064590543	0.8297116493656286
0.6666666666666667	0.873202614379085	0.8261437908496732
0.6603921568627451	0.8707420222991157	0.8225759323337178
0.6541176470588235	0.8682814302191465	0.8190080738177624
0.647843137254902	0.8658208381391772	0.815440215301807
0.6415686274509804	0.863360246059208	0.8118723567858516
0.6352941176470589	0.8608996539792388	0.8083044982698963
0.6290196078431373	0.8584390618992696	0.8047366397539408
0.6227450980392157	0.8559784698193003	0.8011687812379854
0.6164705882352941	0.8535178777393311	0.79760092272203
0.6101960784313726	0.8510572856593618	0.7940330642060746
0.6039215686274509	0.8485966935793925	0.7904652056901191
0.5976470588235294	0.8460438292964244	0.7865282583621683
0.5913725490196078	0.8433371780084583	0.7819761630142252
0.5850980392156864	0.8406305267204921	0.7774240676662822
0.5788235294117647	0.8379238754325259	0.772871972318339
0.5725490196078431	0.8352172241445598	0.7683198769703959
0.5662745098039216	0.8325105728565936	0.7637677816224528
0.5599999999999999	0.8298039215686275	0.7592156862745097
0.5537254901960784	0.8270972702806613	0.7546635909265667
0.5474509803921569	0.8243906189926951	0.7501114955786236
0.5411764705882353	0.821683967704729	0.7455594002306805
0.5349019607843138	0.8189773164167629	0.7410073048827375
0.5286274509803921	0.8162706651287966	0.7364552095347943
0.5223529411764706	0.8135640138408304	0.7319031141868512
0.516078431372549	0.8108573625528642	0.7273510188389081
0.5098039215686274	0.8081507112648981	0.722798923490965
